City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Broken Hill,AU,2022-07-31 07:21:47,-31.95,141.4333,60.75,39,72,22.08
154,Huarmey,PE,2022-07-31 07:21:47,-10.0681,-78.1522,61.79,88,17,7.54
155,Norman Wells,CA,2022-07-31 07:21:48,65.282,-126.8329,57.24,62,20,8.05
156,Gao,ML,2022-07-31 07:21:48,16.6362,1.637,88.84,38,25,10.98
157,Tasiilaq,GL,2022-07-31 07:21:48,65.6145,-37.6368,42.96,58,19,6.87
158,Codrington,AU,2022-07-31 07:21:48,-38.2667,141.9667,52.79,69,100,19.66
159,Akyab,MM,2022-07-31 07:21:49,20.15,92.9,86.92,69,100,9.48
160,Kungurtug,RU,2022-07-31 07:21:49,50.5994,97.5228,81.52,25,46,5.48
161,Hithadhoo,MV,2022-07-31 07:17:04,-0.6,73.0833,78.8,81,100,16.51
162,Pushchino,RU,2022-07-31 07:21:49,54.8339,37.6264,70.0,48,6,2.42
163,Cherskiy,RU,2022-07-31 07:21:50,68.75,161.3,69.1,35,5,10.2
164,Christchurch,NZ,2022-07-31 07:19:43,-43.5333,172.6333,45.91,64,100,6.91
165,Lere,NG,2022-07-31 07:21:50,10.387,8.5726,66.56,87,100,4.38
166,Padang,ID,2022-07-31 07:21:50,-0.9492,100.3543,87.85,67,16,6.42
167,Aquiraz,BR,2022-07-31 07:21:51,-3.9014,-38.3911,75.29,91,86,8.43
168,Megion,RU,2022-07-31 07:21:51,61.0296,76.1136,66.22,39,100,17.4
169,Kondoa,TZ,2022-07-31 07:21:51,-4.9,35.7833,68.13,60,55,7.36
170,Ouegoa,NC,2022-07-31 07:21:52,-20.35,164.4333,71.44,77,100,10.4
171,Marsa Matruh,EG,2022-07-31 07:21:52,31.3525,27.2453,84.4,65,20,10.36
172,Havre-Saint-Pierre,CA,2022-07-31 07:21:52,50.2334,-63.5986,59.36,94,0,12.66
173,Ferrol,ES,2022-07-31 07:21:53,43.4832,-8.2369,67.68,92,14,9.6
174,Hilo,US,2022-07-31 07:17:00,19.7297,-155.09,75.25,87,100,1.01
175,Yulara,AU,2022-07-31 07:21:53,-25.2406,130.9889,69.89,21,0,10.13
176,Puerto Leguizamo,CO,2022-07-31 07:21:53,-0.1934,-74.7819,69.42,98,47,1.03
177,Tuktoyaktuk,CA,2022-07-31 07:21:54,69.4541,-133.0374,42.3,73,11,10.45
178,Baker City,US,2022-07-31 07:21:54,44.7749,-117.8344,81.64,56,0,0.0
179,Cuenca,EC,2022-07-31 07:19:25,-2.8833,-78.9833,55.53,82,90,0.0
180,Ostrovnoy,RU,2022-07-31 07:21:54,68.0531,39.5131,65.61,67,27,11.74
181,Oistins,BB,2022-07-31 07:21:55,13.0667,-59.5333,82.49,89,40,23.02
182,Mahebourg,MU,2022-07-31 07:21:55,-20.4081,57.7,75.49,64,75,21.85
183,Port Blair,IN,2022-07-31 07:21:55,11.6667,92.75,84.24,84,40,13.8
184,Yellowknife,CA,2022-07-31 07:20:58,62.456,-114.3525,48.72,93,20,5.75
185,Comodoro Rivadavia,AR,2022-07-31 07:22:15,-45.8667,-67.5,42.66,49,0,16.11
186,Korla,CN,2022-07-31 07:22:56,41.7597,86.1469,91.2,21,100,5.03
187,Gilgit,PK,2022-07-31 07:22:56,35.9221,74.3087,88.09,38,42,3.98
188,Manokwari,ID,2022-07-31 07:22:57,-0.8667,134.0833,83.3,71,100,9.57
189,Constitucion,CL,2022-07-31 07:18:06,-35.3333,-72.4167,49.23,90,11,4.63
190,Kavieng,PG,2022-07-31 07:22:57,-2.5744,150.7967,83.84,70,100,10.69
191,Novikovo,RU,2022-07-31 07:22:57,51.1537,37.8879,74.5,47,41,8.28
192,Quesnel,CA,2022-07-31 07:22:28,52.9999,-122.5029,66.7,77,75,2.3
193,Mongo,TD,2022-07-31 07:22:58,12.1844,18.693,78.46,71,100,5.19
194,Russell,US,2022-07-31 07:20:17,32.3502,-85.1999,74.43,94,0,0.0
195,Areka,ET,2022-07-31 07:22:58,7.0667,37.7,64.53,81,98,3.4
196,Coruripe,BR,2022-07-31 07:22:59,-10.1256,-36.1756,73.31,88,21,9.17
197,Bambui,BR,2022-07-31 07:22:59,-20.0064,-45.9769,59.32,57,0,4.81
198,Austin,US,2022-07-31 07:20:53,30.2672,-97.7431,83.52,72,20,9.22
199,Kruisfontein,ZA,2022-07-31 07:22:59,-34.0033,24.7314,51.85,74,82,14.72
200,Port Macquarie,AU,2022-07-31 07:23:00,-31.4333,152.9167,58.89,64,100,13.73
201,Dunedin,NZ,2022-07-31 07:23:00,-45.8742,170.5036,43.81,80,100,8.01
202,Dingle,PH,2022-07-31 07:23:01,10.9995,122.6711,86.31,72,95,9.64
203,Baruun-Urt,MN,2022-07-31 07:23:01,46.6806,113.2792,82.36,29,0,8.72
204,Roura,GF,2022-07-31 07:23:01,4.7263,-52.3274,75.96,94,75,0.0
205,Tibati,CM,2022-07-31 07:23:01,6.4667,12.6333,66.97,95,64,3.47
206,Nueva Armenia,HN,2022-07-31 07:23:02,15.7956,-86.4985,75.33,94,85,5.3
207,Robertsport,LR,2022-07-31 07:23:02,6.7533,-11.3686,75.9,73,20,3.78
208,Leninsk,RU,2022-07-31 07:23:03,48.7119,45.1994,87.6,34,99,9.42
209,Faanui,PF,2022-07-31 07:23:03,-16.4833,-151.75,79.02,73,3,25.52
210,Tanout,NE,2022-07-31 07:23:03,14.9709,8.8879,78.1,63,100,14.72
211,Kamenka,RU,2022-07-31 07:23:04,51.3223,42.7678,76.91,44,0,15.73
212,Araouane,ML,2022-07-31 07:23:04,18.9048,-3.5265,87.46,48,13,14.5
213,Guerrero Negro,MX,2022-07-31 07:23:04,27.9769,-114.0611,70.32,78,1,7.18
214,Ponta Do Sol,PT,2022-07-31 07:23:05,32.6667,-17.1,70.72,77,16,4.76
215,Tabas,IR,2022-07-31 07:23:05,33.5959,56.9244,100.62,18,0,9.22
216,Kattivakkam,IN,2022-07-31 07:23:05,13.2167,80.3167,93.29,76,100,12.93
217,Zhigansk,RU,2022-07-31 07:23:05,66.7697,123.3711,77.65,45,10,17.65
218,Dickinson,US,2022-07-31 07:23:06,29.4608,-95.0513,84.94,85,0,4.61
